ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2016,GUARABIRA,ZENOBIO TOSCANO DE OLIVEIRA,PSDB,45,PC do B / PSDB / PSDC / PPS / PSD / PMB / PTN / PP
2016,GURINHEM,CLAUDIO FREIRE MADRUGA,PMDB,15,PMDB / PSDB / PT do B
2016,GURJAO,RONALDO RAMOS DE QUEIROZ,PSC,20,PDT / PMDB / PSC / PSB / PT do B / DEM / PSDB / PRB / PR / PSD
2016,IBIARA,FRANCISCO NENIVALDO DE SOUSA,PSB,40,PSB / DEM / PRB / PSDC
2016,IMACULADA,ALDO LUSTOSA DA SILVA,PSD,55,PSD / PTB / DEM / PV
2016,INGA,MANOEL BATISTA CHAVES FILHO,PSD,55,PRB / PP / PRP / PR / PSD / PSB / PSDC / DEM / PHS / REDE / PSC / PT do B
2016,ITABAIANA,LUCIO FLAVIO ARAUJO COSTA,PSB,40,PSB / PDT / PMN / PRB / SD / PTB / PT / PROS / PRP / PP
2016,ITAPORANGA,DIVALDO DANTAS,PMDB,15,PMDB / PTN / PSB / PP / PEN / PHS / PTB / PT
2016,ITAPOROROCA,ELISSANDRA MARIA CONCEICAO DE BRITO,DEM,25,DEM / PDT / PTB / PV
2016,ITATUBA,ARON RENE MARTINS DE ANDRADE,PSB,40,PRB / PSL / PPS / DEM / PSB / PSD
2016,JACARAU,ELIAS COSTA PAULINO LUCAS,PMDB,15,PMDB / PT / DEM / PRP / PSC / PSD / PROS
2016,JERICO,CLAUDEEIDE DE OLIVEIRA MELO,PP,11,PP / PDT / PTB / PMDB / PHS / PSDB / PROS
2016,JOAO PESSOA,LUCIANO CARTAXO PIRES DE SA,PSD,55,PSD / PMDB / PTN / PRB / PMN / PSDB / PP / PC do B / PHS / PSC / SD / PSDC
2016,JUAREZ TAVORA,MARIA ANA FARIAS DOS SANTOS,PSD,55,PSD / PRB / PTB / DEM / PSC / PMDB / PSDC / PP / PTN / PC do B
2016,JUAZEIRINHO,BEVILACQUA MATIAS MARACAJA,PT do B,70,PT do B / PSB / PSD / DEM / PROS / REDE / PPS / PPL / PTB
2016,JUNCO DO SERIDO,KLEBER FERNANDES DE MEDEIROS,PSB,40,PRB / PT do B / PSB / PSD / PR / PPS / PSDB
2016,JURIPIRANGA,PAULO DALIA TEIXEIRA,PSB,40,PSB / PMDB / PV / PSL / DEM
2016,JURU,LUIZ GALVAO DA SILVA,PSB,40,PSB / PRB / PT / PDT / PMDB
2016,LAGOA,ANTONIO SEVERINO FILHO,PSB,40,PSB / PMDB
2016,LAGOA DE DENTRO,FABIANO PEDRO DA SILVA,PSD,55,PSD / PSDB / PTB / PPS / PRB
2016,LAGOA SECA,FABIO RAMALHO DA SILVA,PSDB,45,PSDB / PSD / PP / PSL / PPS / DEM / PR / PSDC / PMB / PT do B
2016,LASTRO,ATHAIDE GONCALVES DINIZ,PSDB,45,PT / PSDB / PDT / PRTB / PP / DEM / PPS
2016,LIVRAMENTO,CARMELITA ESTEVAO VENTURA SOUSA,PR,22,PR / PT do B / PSB / PSL / PPS / PRB / PSDC / PV
2016,LUCENA,MARCELO SALES DE MENDONCA,PSB,40,PSL / PP / PHS / PT do B / PSB / PRTB / PTB
2016,MAE D'AGUA,FRANCISCO CIRINO DA SILVA,PMDB,15,PMDB / PP / PPS / DEM / PSD
2016,MALTA,MANOEL BENEDITO DE LUCENA FILHO,PMDB,15,PMDB / PTB / DEM / PSDB / PT do B
2016,MAMANGUAPE,MARIA EUNICE DO NASCIMENTO PESSOA,PSB,40,PRTB / PSB / PRB / PDT / PT / PMB / PV / DEM / PEN / PT do B / PMN / PHS / PTN / PRP / PSL / PC do B
2016,MANAIRA,MANOEL BEZERRA RABELO,PMN,33,PT / PSC / PRB / PTB / PPS / PRP / PROS / PMN
2016,MARI,ANTONIO GOMES DA SILVA,PSD,55,PSD / PSDB / PR / DEM / PTB / PT do B / PSL
2016,MASSARANDUBA,PAULO FRACINETTE DE OLIVEIRA,PSDB,45,PSDB / PSD / SD
2016,MATARACA,EGBERTO COUTINHO MADRUGA,PTB,14,PTB / PSB / PDT / PMB / PRTB
2016,MOGEIRO,JOSE ALBERTO FERREIRA,PR,22,PMN / PR / PSDB / PMDB / PP / PRB / PSL / PTC / PT do B
2016,MONTADAS,JONAS DE SOUZA,PSD,55,PSDB / PSD / PT do B
2016,MONTE HOREBE,MARCOS ERON NOGUEIRA,PMDB,15,PMDB / PPS / DEM / PSD / PHS / PSDB
2016,MONTEIRO,ANNA LORENA DE FARIAS LEITE NOBREGA,PSDB,45,PMN / DEM / PHS / PSD / PRP / PSDB / PR
2016,MULUNGU,MELQUIADES JOAO DO NASCIMENTO SILVA,PTB,14,PTB / PMDB / PSD
2016,NATUBA,JANETE SANTOS SOUZA DA SILVA,PMDB,15,PSC / PMDB / PSDB
2016,NAZAREZINHO,SALVAN MENDES PEDROZA,PR,22,PMDB / PR / PDT / PSDB / PSD
2016,NOVA FLORESTA,JARSON SANTOS DA SILVA,PSB,40,PSB / PDT / PT / PSD
2016,NOVA OLINDA,DIOGO RICHELLI ROSAS,PSDB,45,PSDB / PSD / PP / PSC / PTB
2016,NOVA PALMEIRA,AILTON GOMES MEDEIROS,PTB,14,PDT / PMDB / PSB / PRB / PTN / PTB
2016,OLHO D'AGUA,GENOILTON  JOAO DE CARVALHO ALMEIDA,PMDB,15,PMDB / PSDB
2016,OLIVEDOS,JOSE DE DEUS ANIBAL LEONARDO,PSD,55,PSD / PT / PSDB / PPS
2016,OURO VELHO,NATALIA CARNEIRO NUNES DE LIRA,PSD,55,PSDB / PSD / PMN / DEM
2016,PASSAGEM,MAGNO SILVA MARTINS,PMDB,15,PMDB / DEM / PT
2016,PATOS,DINALDO MEDEIROS WANDERLEY FILHO,PSDB,45,PSDB / PRB / SD / PSC / PHS / PTC / PSL / PPS / DEM / PMN / PTN
2016,PAULISTA,VALMAR ARRUDA DE OLIVEIRA,PR,22,PR / PTB / DEM
2016,PEDRA BRANCA,ALLAN FELIPHE BASTOS DE SOUSA,PR,22,PR / PT / PMDB / DEM / PHS / PSB / PEN / PROS
2016,PEDRA LAVRADA,JARBAS DE MELO AZEVEDO,PSD,55,PP / PTB / PSDB / PSD / PT
2016,PEDRAS DE FOGO,DERIVALDO ROMAO DOS SANTOS,PSB,40,PSB / PDT / PTB / PSL / DEM / PEN / PC do B / PROS / PMB / PV
2016,PIANCO,DANIEL GALDINO DE ARAUJO PEREIRA,PSD,55,PSD / PTC / PMDB / PV / PTB / PMB / PSDC / PTN / PROS / SD / PPL / PPS / PHS / PRB / PRP
2016,PICUI,OLIVANIO DANTAS REMIGIO,PT,13,PROS / PC do B / PMDB / PSC / PPS / PP / PT / PSDB / PR
2016,PILAR,JOSE BENICIO DE ARAUJO NETO,PSB,40,PSB / DEM / PDT / PPS / PSDB
2016,PILOES,IREMAR FLOR DE SOUZA,PSB,40,PSB / PSL / PTB / PT / PP / PMDB / PPS / PSD / PT do B
2016,PILOEZINHOS,MONICA CRISTINA SANTOS DA SILVA,PSDB,45,PSDB / PHS / PDT / PT do B
2016,PIRPIRITUBA,DENILSON DE FREITAS SILVA,PSDB,45,PRB / PSDB / PTB / PT do B / PSD
2016,PITIMBU,LEONARDO JOSE BARBALHO CARNEIRO,PSD,55,PSD / PR
2016,POCINHOS,CLAUDIO CHAVES  COSTA,PTB,14,PP / PTB / PPS / PMB / PSDB / PPL / SD
2016,POMBAL,ABMAEL DE SOUSA LACERDA,PMDB,15,PMDB / PTB / PSDB / PSC / PSD / PHS / PRB / PMB / PTN / PSDC / PT do B / PRTB
2016,PRATA,ANTONIO DA COSTA NOBREGA  JUNIOR,PMDB,15,PDT / PT / PMDB / PPS / DEM / PRTB / PSB / PSL / PV
2016,PRINCESA ISABEL,RICARDO PEREIRA DO NASCIMENTO,PSB,40,PSB / PDT / PT do B / PT / PC do B / PRP / PRB
2016,PUXINANA,FELIPE GURGEL COUTINHO,PRB,10,PRB / PTN / PSD / PC do B
2016,QUEIMADAS,JOSE CARLOS DE SOUSA REGO,PSB,40,PRB / PDT / PTB / PSL / PSC / PPS / PSB / PRP / PC do B
2016,QUIXABA,CLAUDIA MACARIO LOPES,PMDB,15,PMDB / PSB
2016,REMIGIO,MELCHIOR NAELSON BATISTA DA SILVA,PSB,40,PDT / PT / PR / PPS / PSB / PV / PC do B / PT do B / PMN / SD / PTC / PRB
2016,RIACHO DOS CAVALOS,JOAQUIM HUGO VIEIRA CARNEIRO,PP,11,PP / PMN / PROS / PSC / DEM / PSB
2016,RIO TINTO,JOSE FERNANDES GORGONHO  NETO,PSB,40,PSB / PDT / PSL / PTN / PRTB / PTC / PV / PC do B / PT do B / SD / PROS
2016,SALGADINHO,MARCOS ANTONIO ALVES,PSDB,45,PP / PSDB / PTB / PT
2016,SALGADO DE SAO FELIX,ADJAILSON PEDRO SILVA DE ANDRADE,DEM,25,DEM / PSB / PDT / PTN / PT do B / PR / PMB
2016,SANTA CRUZ,PAULO CESAR FERREIRA BATISTA,PSB,40,PSB / PT / PP / PTB / PDT / PRP
2016,SANTA HELENA,EMMANUEL FELIPE LUCENA MESSIAS,PSD,55,PSD / PSB / PSDB / PP / PT / DEM / PEN
2016,SANTA LUZIA,JOSE ALEXANDRE DE ARAUJO,PMDB,15,PMDB / PSD / PTB / PROS
2016,SANTANA DE MANGUEIRA,JOSE INACIO SOBRINHO,PSDB,45,PSDB / PSB / PTB / PROS / PSD / PSC / DEM
2016,SANTANA DOS GARROTES,JOSE PAULO FILHO,PSB,40,PSB / PMDB / PT / PP / PROS / PSC / PHS
2016,SANTA RITA,EMERSON FERNANDES ALVINO PANTA,PSDB,45,REDE / PTN / PMN / PRP / PSDB / PSD / PROS
2016,SANTA TERESINHA,TEREZINHA LUCIA ALVES DE OLIVEIRA,PSDB,45,PSDB / PR / DEM / PSD
2016,SAO BENTO,JARQUES LUCIO DA SILVA II,DEM,25,DEM / PMDB / PEN / PSDB / PSDC / PSD / PSL / PT / PT do B
2016,SAO JOAO DO CARIRI,COSME GONCALVES DE FARIAS,DEM,25,DEM / PSDB / PC do B
2016,SAO JOAO DO TIGRE,JOSE MAUCELIO BARBOSA,PSB,40,PSB / PSD / PHS / PDT / PT do B / DEM / PSC / PPS / PTB / PRB / PMDB / PT
2016,SAO JOSE DA LAGOA TAPADA,CLAUDIO ANTONIO MARQUES DE SOUSA,PSD,55,PRB / DEM / PSD / PSDB / PR / PMDB / SD
2016,SAO JOSE DE CAIANA,JOSE LEITE SOBRINHO,PR,22,PR / PMDB / PRB / PTN / PPS / DEM / PSDB / PEN / PSD
2016,SAO JOSE DE ESPINHARAS,ANTONIO GOMES DA COSTA NETTO,PSB,40,PSB / PP / PT / PDT / PC do B / PT do B
2016,SAO JOSE DE PIRANHAS,FRANCISCO MENDES CAMPOS,PSB,40,PSB / PC do B / PR / PTB / PMDB / PT / PPS / PDT / PSDB
2016,SAO JOSE DO BONFIM,ROSALBA GOMES DA NOBREGA,PMDB,15,PMDB / PTB / PC do B
2016,SAO JOSE DO SABUGI,JOAO DOMICIANO DANTAS SEGUNDO,DEM,25,DEM / PTB / PSDB / PSB / PC do B
2016,SAO JOSE DOS CORDEIROS,JEFFERSON ROBERTO DO NASCIMENTO PINTO DA SILVA,PSB,40,PSL / PR / PSB / PSD
2016,SAO MAMEDE,UMBERTO JEFFERSON DE MORAIS LIMA,DEM,25,DEM / PSDB / PPS / PSB / PTB / PMDB
2016,SAO MIGUEL DE TAIPU,CLODOALDO BELTRAO BEZERRA DE MELO,PMDB,15,PMDB / PSDB
2016,SAO SEBASTIAO DE LAGOA DE ROCA,SEVERO LUIS DO NASCIMENTO NETO,PSDB,45,PSDB / PSB / PSD / PT do B
2016,SAO SEBASTIAO DO UMBUZEIRO,ADRIANO JERONIMO WOLFF,DEM,25,DEM / PSD / PRP / PT do B / PT / PHS / PP
2016,SAPE,FLAVIO ROBERTO MALHEIROS FELICIANO,PSB,40,PSB / PP / PR / PPS / PSL / PT / PDT
2016,SAO VICENTE DO SERIDO,MARIA GRACIETE DO NASCIMENTO DANTAS,PSB,40,PSB / PSD / PP / DEM / PHS / PROS / PDT / PTB / PT do B / PT / PC do B
2016,SERRA BRANCA,VICENTE FIALHO DE SOUSA NETO,PDT,12,PDT / PSDB / PSD / PPS / PSC / PSL / DEM
2016,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA LIMA,PTB,14,PTB / PDT / PMDB / PSDB / PSD
2016,SERRA GRANDE,JAIRO HALLEY DE MOURA CRUZ,PSDB,45,PTB / PHS / PSDB / PSD
2016,SERRA REDONDA,DANILO JOSE ANDRADE DE OLIVEIRA,PSD,55,PP / PTN / PSDB / PSD / PSC
2016,SERRARIA,PETRONIO DE FREITAS SILVA,PSD,55,PSDB / PSD / PR / PSL
2016,SOLANEA,KAYSER NOGUEIRA PINTO ROCHA,DEM,25,PP / PTB / PTN / PR / DEM / PSDC / PMN / PSB / PT / PTC
2016,SOLEDADE,GERALDO MOURA RAMOS,PP,11,PP / PDT / PT / PMDB / PR / PROS / PSB / PRTB
2016,SOUSA,FABIO TYRONE BRAGA DE OLIVEIRA,PSB,40,PSB / PDT / PSD / DEM / PTB / PROS / PMB / SD / PHS / PP / PT do B / PPS / PC do B / PSL / REDE / PSOL
2016,SUME,EDEN DUARTE PINTO DE SOUSA,PSB,40,PP / PT / PSB / PTB / PSC / DEM / PSL / PV / PR / PTC / PRP / PEN / PC do B
2016,TACIMA,ERIVAN BEZERRA DANIEL,PMDB,15,PMDB / PRB / PSC / SD
2016,TAPEROA,JURANDI GOUVEIA FARIAS,PMDB,15,PMDB / PDT / DEM / PSB / PSD / PROS
2016,TAVARES,AILTON NIXON SUASSUNA PORTO,PMDB,15,PMDB / PP / PTB / PSD / PT do B / PRB
2016,TEIXEIRA,EDMILSON ALVES DOS REIS,PMDB,15,PMDB / PSB / PRB / PT / PSL / PTN / PR / PV
2016,TRIUNFO,JOSE MANGUEIRA TORRES,PTB,14,PTB / PR / PSL / PSD / PSDB
2016,UIRAUNA,JOAO BOSCO NONATO FERNANDES,PSDB,45,PSDB / PTB / PEN / PPS / PR / PT do B
2016,UMBUZEIRO,JOSE NIVALDO DE ARAUJO,PSB,40,PRB / PMDB / PTN / PPS / PTC / PSB / PT do B
2016,VARZEA,OTONI COSTA DE MEDEIROS,DEM,25,DEM / PTB / PP / PSDB
